date_in,date_out,strategy,symbol,direction,entry_price,exit_price,exit_reason,pnl,pnl_pct,score,phase,instrument
2025-10-28,2025-10-29,IronCondor,NIFTY IC 26050/26150/25950/25850,SELL,50.3,206.75,STOP,-159.68,-317.45,59,out-of-sample,NIFTY
2025-11-04,2025-11-06,IronCondor,NIFTY IC 26050/26150/25950/25850,SELL,131.15,217.45,STOP,-89.57,-68.29,59,out-of-sample,NIFTY
2025-11-18,2025-11-25,IronCondor,NIFTY IC 26050/26150/25950/25850,SELL,25647.0,189.55,EXPIRY_SETTLE,25441.43,99.2,59,out-of-sample,NIFTY
2025-11-18,2025-11-25,IronCondor,BANKNIFTY IC 58600/58800/58400/58200,SELL,1903.35,0.0,EXPIRY_SETTLE,1891.73,99.39,63,out-of-sample,BANKNIFTY
2025-11-18,2025-11-25,IronCondor,FINNIFTY IC 27850/27950/27750/27650,SELL,88.25,0.0,EXPIRY_SETTLE,84.21,95.42,59,out-of-sample,FINNIFTY
2025-11-25,2025-12-01,IronCondor,NIFTY IC 26050/26150/25950/25850,SELL,189.55,534.75,STOP,-348.49,-183.85,59,out-of-sample,NIFTY
2025-12-02,2025-12-09,IronCondor,NIFTY IC 26250/26350/26150/26050,SELL,240.6,25469.8,EXPIRY_SETTLE,-25232.52,-10487.33,59,out-of-sample,NIFTY
2025-12-23,2025-12-30,IronCondor,FINNIFTY IC 27550/27650/27450/27350,SELL,78.5,0.0,EXPIRY_SETTLE,74.46,94.85,59,out-of-sample,FINNIFTY
2024-05-24,2025-05-28,EMA_Crossover,NIFTY,BUY,1543.16,1714.37,EXPIRY,168.75,10.94,90,in-sample,NIFTY
2024-11-14,2024-11-27,EMA_Crossover,BANKNIFTY,SELL,2289.1,18123.16,STOP,-15840.54,-692.0,90,in-sample,BANKNIFTY
2025-04-09,2025-05-28,EMA_Crossover,NIFTY,BUY,3655.12,1714.37,EXPIRY,-1943.21,-53.16,90,in-sample,NIFTY
2025-04-11,2025-04-17,EMA_Crossover,NIFTY,SELL,1660.37,3723.17,STOP,-2065.23,-124.38,90,in-sample,NIFTY
2025-04-21,2025-05-28,EMA_Crossover,NIFTY,BUY,1697.62,1714.37,EXPIRY,14.29,0.84,90,in-sample,NIFTY
